name,region,review,stars
Apex,US,Seamless - Seamless. Thanks JN,5
Amber,US,I prefer the android version vs Apple - I prefer the android version vs Apple. I don’t even enjoy issuing the one on my iPhone. It is all over the place. I do like the computer version.,2
Joe,US,I can't help but to love it - I can't help but to love it. The best i have found.,5
David,US,I use it everyday it's better then most… - I use it everyday it's better then most sometimes but can be difficult.,4
Joey,US,"Easy to use - Easy to use, easy to customize and a great way to organize jobs and contacts.",5
Tracie,,,4
valued customer,,,5
valued customer,,,3
James,,,3
Donny,US,Project Manager - Great platform,5
Ryan,US,Why don’t you have an app?? - Why don’t you have an app??? It’s dumb and makes things so much harder than it has to be in the field.,1
Cory,CA,"App sux - App sux, can't do what I need to",2
Cam,US,Ehhhh JobNimbus has awhile to go - Not going to lie job nimbus isn’t the best the first app was wayyyyyyyyy better than this one in terms of locating contacts/customers also I have to re login almost every day with the new app it’s getting annoying I’ve moved to mainly using the full website if I’m going to be forced to used it I’d rather have the full version not what feels like a demo of the full version…,2
Curt,US,Stop - Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop,1
Sales,US,Shut down once a while,1
Mark,US,Love this CRM software - Love this CRM software.  works great,5
Gage,US,Quit sending me emails,1
Charles,US,It keeps me on track a day on time.,5
Jim,US,This is a highly effective platform… - This is a highly effective platform that keeps our company well organized. Fantastic software.,5
Generational Roofing Company,US,Amazing! - Amazing! The people at JN are very knowledgeable and always available to assist.  The system is amazing.  You get an onboarding course which takes you through many processes.  I highly recommend this app to anyone in the field.,5
Caroline,US,System has gone down several times this… - System has gone down several times this week.,3
Kaci,US,"Terrible!! - It lags.  It is making my job slow, which is bad for business. The Resource Center and JobNimbus Technical Support are in terrible places.  They prevent me from doing my job efficiently.  If I could give JobNimbus no stars, I would.",1
Rik,US,Drags ALOT - Drags ALOT. Have to log in and out alot,3
Roofing Contractor,US,"All smiles no help - Keep making updates that we dont ask for or want and the software just keeps getting slower and more buggy. Genuinely resent the fact that we re being used as beta testers. If it were not such a monumental task I would be looking into other services. Probably the most disappointing part is when we signed up the Jobnimbus team seemed so helpful but since its been literally nothing but a smiling face as they deflect any issue, suggestion for help or actionable response. No one issue or tip i have asked for has been met with a fix.",2
Jay,BW,Good system but sometimes slow on… - Good system but sometimes slow on loading up.,3
Dwayne,US,Not enough training,2
Torrey,US,constantly down afternoons and cant… - constantly down afternoons and cant load multiple browsers for task management most time,2
Darrell,US,"They don't listen. - There are many things that have been discussed through these reviews and directly with the job nimbus team and nothing has been done about it, the most important short version is don't try to rewrite code use code that is available readily and simplify things.",3
Jorian,US,Very handy - Very handy & It’s easy to get around,5
Tracie,,,4
valued customer,,,5
valued customer,,,3
James,,,3
Robert,US,Thank you - Thank you for everything,5
Luis,HN,working better than beofre.,5
Nick,US,The new app update is terrible for… - The new app update is terrible for displaying customers information to write down without having to go into the edit icon. Can’t stand this.,2
Felicia,US,"Love JobNimbus - Love JobNimbus, great software for our company",5
Matthew,US,I think JobNimbus is a very handy app… - I think JobNimbus is a very handy app for the tracking of Jobs status and keeping organized with work flows. Five stars!!!,5
Daniel,US,"I really wish customer email and… - I really wish customer email and information was more readily available for view. Also, wish there was a more accessible window for adding notes, and seeing previous notes in a singular window / task.",3
Benjamin,US,"Search function is absolutely terrible - Search function is absolutely terrible. If the last name is Johnson, you cannot type joh and all names with “joh” come up. You have to type the full name.",3
Jason,US,"App needs work. - Desktop version works great. The app is clunky. Many times redirects to the previous page, does not save when I hit the save function. The duplicate PO number function needs to have an option to where it creates a different PO with the same information as I have to do with multiple buildings and condos and apartment complexes and having to enter all the information eight times in a row is tedious and inefficient.",3
Matt,US,Pretty good - Like JobNimbus and most of the functionality is solid and works well for our company. Scheduling in the Calendar is a little clunky and could be more intuitive and I can’t believe you can’t set recurring events. I also haven’t found an easy way to schedule follow up tasks. However other than these things I’ve enjoyed using JobNimbus.,3
Thomas,US,Great customer support always available… - Great customer support always available and very informative.,5
valued customer,US,Good Program - Good Program I like this program and being able to work remotely on my phone or tablet as well as at home on a desktop.  The integration of all our clients data is great and the ability to create proposals on site is nice. I think one issue I have is not being able to create a page break on my estimates.  Sometimes my estimates have a price on one page and the description of that price on another.  It's fine but I think for the customer it looks messy and somewhat unprofessional.  It would be nice to be able to create page breaks for a more seamless look and presentation.,4
valued customer,US,Didn’t get a response for technical… - Didn’t get a response for technical support. Just a survey a few days later on how they “supported” me.,1
valued customer,US,what an amazing app!,5
Elmer,US,I have no complaints so far,5
valued customer,US,Lots of bugs to be worked out yet - Lots of bugs to be worked out yet.  Some pros and cons vs our previous CRM.  So far I've found Nimbus to be less user friendly or intuitive than what we were using.  And it takes me longer to accomplish the same tasks.  The best pro is so far is that it is more customizable,2
Teresa,US,"How Job Nimbus uploads Documents and Photos - I dislike that Job Nimbus uploads pictures and documents as it wants too, not as you upload it. That does cause issues with work and sometimes with clients. Even when its by dates to upload it still uploads how ever it wants too. I think we should be able to count on JN to do as we select, we've selected it that way for a reason. Thank you, other than that I think your doing good.",4
Lisa,US,"ALWAYS VERY HELPFUL AND PROMT WITH… - ALWAYS VERY HELPFUL AND PROMT WITH CUSTOMER SERVICE, LOVE LOVE LOVE!  HIGHLY RECCOMMEND, THANK YOU!!!",5
valued customer,US,"it is difficult to find support right… - it is difficult to find support right away the support bot doesn't do much.  then it makes a ticket for you but it takes them 24-48 hours to get back to you and once no one called back.  they need more tech support to assist their customers in a timely manner.   the software is good and i do like it it works well.   but the customer support is not where it should be.  however, when you do get them on the phone they help out very well.",3
valued customer,US,"No customer service - Sends me spammy email, blocks my outgoing when I mark it as spam and assumes its all handled (still not operating) and says it's closed as an issue. You can't fix it if you don't try.",1
valued customer,US,"JobNimbus gets the job done - JobNimbus gets the job done. My only issue is that way it's formatted. I've used other services where everything was RIGHT THERE and easy to navigate to. It's a more modern approach, I suppose. But, that's all. Other than that, it works just fine.",4
Tracie,,,4
valued customer,,,5
valued customer,,,3
James,,,3
valued customer,US,Works great - Works great and easy to use,5
Veronica,US,"AMAZING customer service - AMAZING customer service. Every person I've talked to has always been polite, professional, and quick to resolve my issues. JobNimbus is always open to hearing about more ways they can improve from us, the customer! Growing together makes everything work better.",5
Matt,US,"Excellent software - Excellent software, helps me keep track of all my customers. I honestly don’t know what I woulda do without it.",5
John,US,"We have been very impressed with the team - We have been very impressed with the software & support team/onboarding team. Great program, very helpful.",5
Shane,US,Program is awful all the way around,1
Chris,US,"JobNimbus has literally transformed our… - JobNimbus has literally transformed our business from a six figure to a seven figure roofing company.  It has kept us on task and the more we use it, the more we love it.  It is the single most important step we have ever taken in our business.  Can’t recommendj enough!!!  A++++",5
valued customer,US,"I've used or tried out every CRM out there... - I've used or tried out every CRM out there, JobNimbus is the best. I've been using it for almost 9 years now.",5
Andrea,US,Great help with getting started! - Great help with getting started! I love how user friendly this program is!,5
valued customer,US,Would be very helpful to be able to… - Would be very helpful to be able to print certain reports. Some data entry is not user friendly.,3
valued customer,US,"When I use the chat - When I use the chat, I would expect someone to help me then.  I was only given links that were similar to my problem but did not address the problem specifically.  I then had to have a ticket created to get help.  I sill haven't heard back and it's the next day.  That's super frustrating when you are having problems.",3
Stephanie,US,"While we love the idea of this Platform… - While we love the idea of this Platform and it has helped with keeping our client details…the things that matter most are failing us. We continue to have technical issues on the app with seeing leads and clients notes, function of the app on general, entering a number greater than 10,000 into an estimate as well as several other important daily abilities. I’ve been in contact with jobnimbus almost daily to resolve issues which takes time away from productivity. I understand that updates are happening. But in the moment it’s difficult to run a fast paced, in demand business when systems are failing. Side note: It would be great if there was an ability to text with clients directly through jobnimbus as this would automate more smoothly and reduce third party necessities. As a contracting business we also use jobnimbus for scheduling which works great with automation but a confirmation button would be incredible so that we know the day selected works for our client!",2
Judith Cunningham,US,"I cant imagine my work space without… - I cant imagine my work space without JobNimbus. It's an awesome workplace tool that helps you win, if you grind.",5
valued customer,US,"Tech support requires an appointment or… - Tech support requires an appointment or waiting till the next day. When JobNimbus's software is not working, JobNimbus should be immediately available to fix it. Why should I pay a company whose software stops working?",4
Cory Fieber,US,The search bar lack of search - The search bar needs to be able to search for all fields on the top part of each customer file not just by name or file number.,4
valued customer,US,your program stinks - your program stinks - it is not user friendly and leads verses jobs having more than one entry looks like people are in the system more than one time and notes dont go on the correct entry. Difficult to navigate and pull photos from the system for xactimate - overall I would rate it an expensive 0,1
valued customer,US,I feel like there are way more steps to… - I feel like there are way more steps to go thru for the same result as our old program. It gets very confusing with the multiple contacts that get added for a job. Also Fusion/Simplii phone service has been a real challenge. We keep losing calls or the function to transfer or put calls on hold has not been operating.,3
Angie Willimas,US,JobNimbus is easy to navigate and easy… - JobNimbus is easy to navigate and easy to use!!!!,5
valued customer,US,Would love to have the ability to make… - Would love to have the ability to make it more user friendly for sales and other departments to work with.,3
valued customer,US,I love the system and rate it A- - I love the system and rate it A-.  Only hang up is that there should be a place where you can check your tags.,4
Billy Herndon,US,JobNimbus makes my day to day… - JobNimbus makes my day to day responsibilities easier by organizing all of the jobs and running them through production.,5
Tracie,,,4
valued customer,,,5
valued customer,,,3
James,,,3
Adam,US,They do a great job assisting their… - They do a great job assisting their customers,5
Eric,US,"I honestly feel the app is lackluster… - I honestly feel the app is lackluster at best. The ability to set follow ups and manage my calendar is much easier on other platforms. Also, I'd like the ability to flood my work's outlook calendar to the app. All around, it just needs some fine tuning.",3
Jennifer Gore,US,"We are happy with Job Nimbus - We are happy with Job Nimbus. A few hiccups here and there and some have been fixed over time. Customizable to your business, user friendly, great customer support team for when help is needed.",4
FELIX DIAZ,US,"Very happy with JobNimbus and all of… - Very happy with JobNimbus and all of its features. Contacts workflows and job workflow have really help us manage our jobs. The ability to create automations is really neat, I particularly like it because it made it easier to communicate workflows. Very happy with the software and the features.",5
Kevin,US,Meh... - Pricing jumped from $25 a user to $50 a user. After we had been a member for years. That's a 100% increase in price.. that came along with virtually no announcement. Just saw that our account was gonna be charged double. Was not real amused by that. There's limited integrations. And typical post-covid slow support responce. Went a full day without hearing from them more than one time. Over all it works. It's not the awesome product it was when we first signed up a few years back though. The competition is looking sharp these days...,3
Tony,US,"Our team is functioning and a higher level of efficiency because of your product - I am enjoying the system with so many report options, the ease of communication with the team and I know there are many more features that I haven’t even touched! I also appreciate the way you ask for suggestions and attempt to accommodate Well done!",5
Amber,US,"We were told that we could integrate… - We were told that we could integrate Xactimate and pull our reports created in Xactimate. When we tried to do so, because we already have an Xactimate account. We were told there is a fee and only assignments, not reports could be integrated. Kind of disappointing and misleading.",3
Shawn Smith,US,Very great tool for keeping everything… - Very great tool for keeping everything organized and documented. Wish I would of had it sooner!,5
Said El Mawad,US,Amazing System for Roofing Companies - Amazing System for Roofing Companies. Very convenient and straightforward. Easy to keep track of data as well as very professional way to be organized.,5
Jerome A Lennon,US,I absolutely love the experience makes… - I absolutely love the experience makes my job sooooooo much easier,5
Vincent,MX,"rly think that JobNimbus is a…a Grate tool to work with! - I sincerly think that JobNimbus is a great tool to work with, it´s just a matter of tome to get to kon w how to get the best of ot, at first it's tricky but one's you get it, work very good and is very usseful!",4
Isaac Morris,US,I use JobNimbus daily.. it’s great! - I use JobNimbus daily to manage and organize my leads for my company. JobNimbus status times and information that’s clearly visible to see at first glance is extremely helpful. Thank you to JobNimbus for your service and help with the world of sales. -Isaac M.,5
customer,US,Well I kinda like your product but… - Well I kinda like your product but would like to have training happen sooner. I am barely getting by with my business trying to learn your program by itself.,3
Mike,US,Great progress and well built CRM!,5
Efraim Presser,US,"A+++ - Always helpful and knowledgeable, the support team at JN is second to none.",5
Lisa,US,The calendar - The only thing I would change is the calendar.  I can’t see each entire event on each day and being able to see everything would be helpful.  Everything else is good. —Lisa,4
Office,US,"Great Software - Still working on fully implementing the software, however the team at JobNimbus has been incredibly helpful so far. We are blown away with all the features and customizability. Highly recommend this software.",5
John McPherson,US,Great app - Works great!,5
Terry,US,Review - Nothing to report,5
Nigel,US,"great job! - great job by the team you have, thank you!",5
Tracie,,,4
valued customer,,,5
valued customer,,,3
James,,,3
Logan,US,"Overall this CRM has been an incredible… - Overall this CRM has been an incredible tool for our business. It seamlessly integrates with the other technologies that we use, and and is very user friendly. It's intuitive and customizable. I wish there was a ""notifications"" icon within the software, but I am sure that's in the works.",5
nikki,US,"Job Nimbus is easy to use but we have… - Job Nimbus is easy to use but we have had a ticket open with them for 5 months about our ""Leads"" being over 1000 and we can not see or edit anything over that.",3
Harold,US,It doesn’t work all the time,4
Chris,US,The navigation of Jobnibus is somewhat… - The navigation of Jobnibus is somewhat cumbersome. I prefer the messaging works better with a drop down where you can tag multiple recipients at one time rather that enter the @ sign for each additional recipients and choose the name from the drop box. There is no discernable flow of the project or job.,5
Eric,US,I am enjoying JobNimbus. - I am enjoying JobNimbus. Very good program.,5
Jared,US,Problems with loading documents - Problems with loading documents. And cache not be cleared properly when returning to app.,2
Roger,US,A good hub. - Our company handles a lot of jobs that take 3-4 days to complete.  The jobs involve several contributors and JN is a good platform for keeping us organized so we keep the work moving even when an occasional delay involves moving on to another job while waiting for more information to complete the delayed project.,4
adam,US,The system is great except for view… - The system is great except for view attached files from your phone.,5
Jeremy,US,"I love JobNimbus - I love JobNimbus. I really appreciate all of the clerical work and data that gets compartmentalized So efficiently and productively. I am not sure how I have survived all the years without it. Keep up the good work, nothing but good things here……",5
Parker,US,App needs a lot of work,2
Maggie,US,"Would like to look up clients by policy… - Would like to look up clients by policy number, not just name.",3
Frank,US,Program works good,4
Nick,US,Works great for what we use it for,5
Aaron,US,"Don’t subject your employees to this torture - This app is so glitchy, It’s not very user friendly and quite obviously too many steps to perform single action. I’ve also lost a bunch of jobs over the pictures not uploading which I guess they fixed on the new version but we still have problems. They are lucky they found their niche market, this software is awful. I would’ve left well enough alone as a simple I don’t like the app and never reviewed but the daily message about reviewing the app is extremely annoying.",2
Juan,US,Overall the system is decent but I… - Overall the system is decent but I don't like the app at all. I think the software is very slow at times as well.,4
David,US,"You have taken away functionality when… - You have taken away functionality when it comes to printing.  Despite please for you to fix it, this much needed request has been ignored.  Attention to detail and follow through are sorely missing.",2
Larry,US,"Each contact should be listed according… - Each contact should be listed according to stays. All signed contracts should be in one list, leads in another and prospects in another. It would be nice to send multiple estimates in the same e-mail. The over all layout is pretty terrible.",2
Joe,US,Not happy with the quality of leads - Not happy with the quality of leads. Bath and kitchen remodels need to be the top priority. Pothole and structural repairs.,3
Leah,US,Great software!,5
Adam,US,The app is horrible - The app is horrible.  Unusable,1
Tracie,,,4
valued customer,,,5
valued customer,,,3
James,,,3
Andrew,US,"Good platform - This platform is user friendly and helpful for collaborating with others on my team. Most if not all files (photos, receipts etc) can all be uploaded to this platform.",5
Enrique,US,Peace ✌     you guys - Peace ✌     you guys. R THE best,5
Brad,US,Limited Phone App - Phone app seems choppy at best. I can’t see all my contacts on the phone app and notifications are generalized. Some things are ok like uploading documents isn’t that difficult but would be easier if Nimbus had its own PDF creator. My company seems to like it though for some reason so I’m trying to learn what I can. Any help would be appreciated.,2
ali abbas,GB,The best tool to use,5
Tracie,US,"Job Nimbus - We have been using Job Nimbus for several years now and we really enjoy it. It is user friendly and easy to navigate and manage. The only downside is not being able to see the calendar with everyone's work calendar on one page separated by name. If we were able to see that, it would REALLY benefit the company and use of the calendar. We are having to rely on an outside calendar to view everyone, by name, per day.",4
One Solution,US,I honestly not 100 percent comfortable… - I honestly not 100 percent comfortable with it my offices use is start but i dont think is to  bad i start like it more,4
John,US,"Does not work well with other tool ie… - Does not work well with other tool ie company cam, sumo quote, and lots of issues with hover integration.",2
Kyle- Sharp pro,US,"Love the program as a whole - Love the program as a whole. By using the tasks feature, I can set my mind free while never missing appointments or objectives needed in the process.",5
Shawn,US,1.It needs to be more user friendly - 1.It needs to be more user friendly. 2.No Drag and drop. 3.Acculynx platform much easier to manage 4.More confusing than other CRMs,3
valued customer,US,Chase has extremely good listening and… - Chase has extremely good listening and processing skills - I am so jealous! We do what I am sure is a horrible job explaining our issues and he does an amazing job of brainstorming ways of overcoming our challenges. Every business needs a Chase!,5
Ron,US,"Great system - Great system, fast and intuitive. Ron Mathis PES Solar",5
Wil the Roofer,US,"I like Job Nimbus - The more I use Job Nimbus, the more I enjoy it.",5
Chris Comis,US,"Great Tool Overall - Overall, it’s a great tool. Just needs to be streamlined a little more.",4
Dan,US,its not an easy program to learn very… - its not an easy program to learn very hard to email quote if you miss it the first time,4
Mike,US,It’s logged me out and I don’t have my… - It’s logged me out and I don’t have my password information.,1
Audrey Heaberlin,US,This is more than a CRM this is a… - This is more than a CRM this is a roadmap for success. I love this culture.,5
Andrew,US,Clean & Efficient - My social media that saves and makes me money.,5
Jeff RRR Construction,US,Very user friendly system,5
Tina,US,"Not the best system for a growing and/ or changing company. - My largest complaint is the lack of ease to figure out how to do things when a change needs to be made or a problem occurs.  Once an item for materials is entered, there seems to be no way to delete the (sometimes 10!) duplicates.  Also, the price of materials does increase or decrease with time & inflation.  There appears to be no way to update prices in the system.  Just have to change them in the material order each time.  The links to assist if problems/ concerns like this occur are little to no assistance.  Also, when a job is completed, it should automatically archive after a period of time.  Some customers return to have another job completed after moving to a new location.  This system seems to think it is a duplicate customer & an alteration to the customer name has to be made to ""fool"" the system into believing it is a new customer.",3
Tracy,US,Never used this software before and I… - Never used this software before and I feel that it is helpful because I can track the day-to-day activity of each contact and also upload documents.  This saves time when I am reviewing the file.,5
Tracie,,,4
valued customer,,,5
valued customer,,,3
James,,,3
